ksp_type,pc_type,response,min1,min5,min15,proc
gmres,jacobi,86.067,40.93,38.16,37.7,1/3443
fcg,jacobi,17.845,41.57,38.49,37.82,2/3440
tcqmr,jacobi,132.67,40.65,39.15,38.15,1/3438
cgs,jacobi,14.031,39.28,38.9,38.09,3/3440
bcgs,jacobi,12.732,38.67,38.76,38.06,3/3440
tfqmr,jacobi,15.097,36.58,38.26,37.91,1/3453
cr,jacobi,7.6476,34.46,37.71,37.74,1/3453
gcr,jacobi,116.87,37.22,38.09,37.89,2/3450
cg,sor,5.9191,36.47,37.89,37.83,2/3454
gmres,sor,124.74,40.32,39.02,38.26,2/3444
fcg,sor,9.5343,39.25,38.83,38.21,1/3446
tcqmr,sor,89.103,40.71,39.34,38.44,2/3448
cgs,sor,9.6431,37.88,38.78,38.28,1/3448
bcgs,sor,8.5082,37.3,38.59,38.22,1/3451
tfqmr,sor,9.2192,36.83,38.4,38.17,3/3452
cr,sor,5.7905,34.86,37.89,38.0,1/3448
gcr,sor,104.33,39.86,38.65,38.26,1/3446
cg,mg,6.9647,38.91,38.48,38.2,2/3444
gmres,mg,66.025,38.37,38.47,38.23,2/3443
fcg,mg,9.1984,37.74,38.31,38.18,1/3445
tcqmr,mg,24.644,38.18,38.31,38.18,16/3443
cgs,mg,10.134,36.24,37.82,38.02,2/3446
bcgs,mg,10.278,36.38,37.75,37.99,1/3445
tfqmr,mg,9.8151,34.9,37.27,37.83,1/3443
cr,mg,6.5127,33.68,36.89,37.69,4/3443
gcr,mg,77.673,38.09,37.65,37.89,4/3441
cg,bjacobi,4.7132,36.91,37.4,37.81,3/3442
gmres,bjacobi,74.476,39.98,38.15,38.03,2/3440
fcg,bjacobi,7.9597,34.87,37.13,37.7,2/3442
tcqmr,bjacobi,21.701,36.36,37.25,37.72,3/3441
cgs,bjacobi,7.2033,36.2,37.14,37.68,1/3443
bcgs,bjacobi,6.3902,35.76,36.98,37.62,2/3443
tfqmr,bjacobi,7.2584,35.49,36.84,37.56,1/3443
cr,bjacobi,4.2583,34.86,36.65,37.49,2/3442
gcr,bjacobi,102.86,39.23,37.6,37.73,2/3442
cg,jacobi,7.5386,38.26,37.44,37.68,2/3442
gmres,jacobi,86.331,41.42,38.56,38.05,2/3441
fcg,jacobi,16.705,38.65,38.15,37.92,2/3441
tcqmr,jacobi,133.31,40.97,39.18,38.33,1/3439
cgs,jacobi,13.88,40.3,39.12,38.33,2/3441
bcgs,jacobi,12.025,39.37,38.95,38.29,3/3443
tfqmr,jacobi,14.862,38.6,38.77,38.24,2/3441
cr,jacobi,7.5724,35.17,37.96,37.98,1/3441
gcr,jacobi,116.68,40.84,38.94,38.32,2/3440
cg,sor,5.6782,39.61,38.74,38.26,1/3438
