ksp_type,pc_type,response,min1,min5,min15,proc
cg,sor,33.11,4.51,4.65,4.62,4/3448
gmres,sor,510.15,3.97,4.03,4.31,4/3452
fcg,sor,45.697,3.94,4.01,4.29,4/3451
tcqmr,sor,129.18,3.96,3.98,4.24,3/3453
cgs,sor,49.037,3.83,3.95,4.21,3/3454
bcgs,sor,51.006,3.94,3.95,4.19,5/3454
tfqmr,sor,46.975,4.26,4.01,4.2,3/3454
cr,sor,32.196,4.9,4.2,4.25,4/3453
gcr,sor,1426.0,4.56,4.76,4.72,4/3458
cg,mg,41.955,4.59,4.73,4.71,3/3455
gmres,mg,377.79,3.88,4.39,4.59,4/3453
fcg,mg,48.617,3.68,4.27,4.54,3/3450
tcqmr,mg,154.06,3.67,4.02,4.4,3/3450
cgs,mg,62.067,3.87,3.99,4.36,5/3450
bcgs,mg,63.088,4.33,4.09,4.37,4/3451
tfqmr,mg,61.444,3.81,3.98,4.31,4/3451
cr,mg,42.197,4.03,4.0,4.3,3/3448
gcr,mg,631.02,4.53,4.42,4.34,3/3451
cg,icc,27.932,4.51,4.43,4.35,4/3449
gmres,icc,348.89,4.3,4.37,4.34,3/3451
fcg,icc,38.999,4.26,4.36,4.33,3/3451
tcqmr,icc,107.23,3.73,4.11,4.24,3/3455
cgs,icc,43.611,4.07,4.15,4.25,3/3454
bcgs,icc,38.75,3.8,4.07,4.22,4/3455
tfqmr,icc,43.001,3.51,3.95,4.17,4/3456
cr,icc,25.209,3.55,3.92,4.16,3/3455
gcr,icc,1031.4,4.38,4.55,4.5,3/3448
cg,jacobi,38.46,4.24,4.49,4.48,4/3452
gmres,jacobi,226.13,4.28,4.22,4.36,5/3449
